Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
SPALDING,AV-Elections Office ICP 2 - 0,2492,Round 1: 0.187296025194463569,,Yes,"Earl L. ""Buddy"" Carter: 330; Mike Collins: 604; John F. Coyne III: 13; Derek Dooley: 360; Jonathan ""Jon"" McColumn: 26","Earl L. ""Buddy"" Carter: 330; Mike Collins: 604; John F. Coyne III: 13; Derek Dooley: 360; Jonathan ""Jon"" McColumn: 26",,,"Keisha Lance Bottoms: 789; Olu Brown: 10; Amanda Duffy: 15; Geoff Duncan: 70; Jason Esteves: 82; Derrick Jackson: 20; Michael ""Mike"" Thurmond: 111","Keisha Lance Bottoms: 789; Olu Brown: 10; Amanda Duffy: 15; Geoff Duncan: 70; Jason Esteves: 82; Derrick Jackson: 20; Michael ""Mike"" Thurmond: 111",,,
SPALDING,ED-P4 ICP 1 - 0,871,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 130; Mike Collins: 219; John F. Coyne III: 3; Derek Dooley: 148; Jonathan ""Jon"" McColumn: 17","Earl L. ""Buddy"" Carter: 130; Mike Collins: 219; John F. Coyne III: 3; Derek Dooley: 148; Jonathan ""Jon"" McColumn: 17",,,"Keisha Lance Bottoms: 221; Olu Brown: 5; Amanda Duffy: 7; Geoff Duncan: 19; Jason Esteves: 34; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 41","Keisha Lance Bottoms: 221; Olu Brown: 5; Amanda Duffy: 7; Geoff Duncan: 19; Jason Esteves: 34; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 41",,,
SPALDING,ICC-Absentee by Mail - 8,49,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 4; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
SPALDING,ICC-Provisional - 1,9,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
STEPHENS,ED-Stephens County ICP 2 - 0,176,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 19; Mike Collins: 75; John F. Coyne III: 2; Derek Dooley: 26; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 19; Mike Collins: 75; John F. Coyne III: 2; Derek Dooley: 26; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 23; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 23; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 6; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 1",,,
STEPHENS,ED-Stephens County ICP 3 - 0,781,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 89; Mike Collins: 342; John F. Coyne III: 13; Derek Dooley: 153; Jonathan ""Jon"" McColumn: 17","Earl L. ""Buddy"" Carter: 89; Mike Collins: 342; John F. Coyne III: 13; Derek Dooley: 153; Jonathan ""Jon"" McColumn: 17",,,"Keisha Lance Bottoms: 68; Olu Brown: 3; Amanda Duffy: 8; Geoff Duncan: 9; Jason Esteves: 21; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 17","Keisha Lance Bottoms: 68; Olu Brown: 3; Amanda Duffy: 8; Geoff Duncan: 9; Jason Esteves: 21; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 17",,,
STEPHENS,ICC-Absentee by Mail - 4,31,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 9; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 9; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5",,,
STEPHENS,ICC-Provisional - 1,1,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
STEWART,Advanced + ED Lumpkin,457,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 32; Mike Collins: 66; John F. Coyne III: 6; Derek Dooley: 43; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 32; Mike Collins: 66; John F. Coyne III: 6; Derek Dooley: 43; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 182; Olu Brown: 7; Amanda Duffy: 16; Geoff Duncan: 9; Jason Esteves: 14; Derrick Jackson: 18; Michael ""Mike"" Thurmond: 33","Keisha Lance Bottoms: 182; Olu Brown: 7; Amanda Duffy: 16; Geoff Duncan: 9; Jason Esteves: 14; Derrick Jackson: 18; Michael ""Mike"" Thurmond: 33",,,"Combines AV-Elections Office ICP 1 - 0, ED-Lumpkin ICP 1 - 0"
STEWART,ICC-Provisional - 1,1,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
SUMTER,ED-Airport ICP 1 - 0,323,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 33; Mike Collins: 73; John F. Coyne III: 1; Derek Dooley: 76; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 33; Mike Collins: 73; John F. Coyne III: 1; Derek Dooley: 76; Jonathan ""Jon"" McColumn: 0","Jonathan ""Jon"" McColumn: +2",2,"Keisha Lance Bottoms: 76; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 1; Jason Esteves: 8; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 19","Keisha Lance Bottoms: 76; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 1; Jason Esteves: 8; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 19",Derrick Jackson: +1,-1,
SUMTER,ED-Andersonville ICP 1 - 0,107,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 20; Mike Collins: 34; John F. Coyne III: 3; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 20; Mike Collins: 34; John F. Coyne III: 3; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 5; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 5; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
SUMTER,ICC-Absentee by Mail - 5,2,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
SUMTER,ICC-Absentee by Mail - 6,7,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
TALBOT,ED-Talbotton ICP 1 - 0,68,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 45; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 45; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3",,,
TALBOT,Election Day Central ICP 1 - 0,67,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 22; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 5; Mike Collins: 22; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 23; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 23; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5",,,
TALBOT,ICC-Absentee by Mail - 1,42,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 29; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 29; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 9",,,
TALIAFERRO,ED-Sharon ICP 1 - 0,67,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 16","Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 16",,,
TALIAFERRO,ICC-Provisional - 1,2,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
TATTNALL,AV-Elections Office ICP 1 - 0,1290,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 616; Mike Collins: 232; John F. Coyne III: 6; Derek Dooley: 99; Jonathan ""Jon"" McColumn: 15","Earl L. ""Buddy"" Carter: 615; Mike Collins: 232; John F. Coyne III: 6; Derek Dooley: 99; Jonathan ""Jon"" McColumn: 15","Earl L. ""Buddy"" Carter: +1",1,"Keisha Lance Bottoms: 155; Olu Brown: 3; Amanda Duffy: 13; Geoff Duncan: 14; Jason Esteves: 18; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 46","Keisha Lance Bottoms: 155; Olu Brown: 3; Amanda Duffy: 13; Geoff Duncan: 14; Jason Esteves: 18; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 46",,,
TATTNALL,ED-Collins ICP 1 - 0,276,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 96; Mike Collins: 82; John F. Coyne III: 1; Derek Dooley: 26; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 96; Mike Collins: 82; John F. Coyne III: 1; Derek Dooley: 26; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 33; Olu Brown: 3; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 33; Olu Brown: 3; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 2",,,
TATTNALL,ICC-Absentee by Mail - 2,19,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 9; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 9; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
TATTNALL,ICC-Absentee by Mail - 5,20,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 11; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 11; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
TAYLOR,ED-Precinct 5 ICP 1 - 0,262,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 48; Mike Collins: 109; John F. Coyne III: 0; Derek Dooley: 51; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 48; Mike Collins: 109; John F. Coyne III: 0; Derek Dooley: 51; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 18; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 18; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5",,,
TAYLOR,ED-Precinct 6 ICP 2 - 0,262,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 41; Mike Collins: 80; John F. Coyne III: 1; Derek Dooley: 35; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 41; Mike Collins: 80; John F. Coyne III: 1; Derek Dooley: 35; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 41; Olu Brown: 5; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 5; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 26","Keisha Lance Bottoms: 41; Olu Brown: 5; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 5; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 26",,,
TAYLOR,ICC-Absentee by Mail - 3,18,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
TELFAIR,AV-Elections Office - ICP 1 - 0,610,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 125; Mike Collins: 175; John F. Coyne III: 2; Derek Dooley: 82; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 125; Mike Collins: 175; John F. Coyne III: 2; Derek Dooley: 82; Jonathan ""Jon"" McColumn: 12",,,"Keisha Lance Bottoms: 114; Olu Brown: 4; Amanda Duffy: 8; Geoff Duncan: 15; Jason Esteves: 2; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 25","Keisha Lance Bottoms: 114; Olu Brown: 4; Amanda Duffy: 8; Geoff Duncan: 15; Jason Esteves: 2; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 25",,,
TELFAIR,ED-Milan ICP 1 - 0,177,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 42; Mike Collins: 73; John F. Coyne III: 1; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 42; Mike Collins: 73; John F. Coyne III: 1; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3",,,
TELFAIR,ICC - Absentee by Mail - 1,26,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 9; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 9; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
TERRELL,Absentee By Mail ICC - 1,86,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 47; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 10; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 47; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 10; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 14",,,
TERRELL,AV-Elections Office ICP 1 - 0,631,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 82; Mike Collins: 62; John F. Coyne III: 1; Derek Dooley: 38; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 81; Mike Collins: 62; John F. Coyne III: 1; Derek Dooley: 38; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: +1",1,"Keisha Lance Bottoms: 262; Olu Brown: 14; Amanda Duffy: 22; Geoff Duncan: 25; Jason Esteves: 27; Derrick Jackson: 18; Michael ""Mike"" Thurmond: 59","Keisha Lance Bottoms: 262; Olu Brown: 14; Amanda Duffy: 22; Geoff Duncan: 25; Jason Esteves: 27; Derrick Jackson: 19; Michael ""Mike"" Thurmond: 59",Derrick Jackson: -1,1,
TERRELL,ED-Dawson ICP 1 - 0,356,Round 1: 0.709445426917906278,,Yes,"Earl L. ""Buddy"" Carter: 29; Mike Collins: 31; John F. Coyne III: 2; Derek Dooley: 15; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 28; Mike Collins: 28; John F. Coyne III: 2; Derek Dooley: 9; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: +1; Mike Collins: +3; Derek Dooley: +6; Jonathan ""Jon"" McColumn: -3",5,"Keisha Lance Bottoms: 181; Olu Brown: 6; Amanda Duffy: 8; Geoff Duncan: 10; Jason Esteves: 10; Derrick Jackson: 16; Michael ""Mike"" Thurmond: 30","Keisha Lance Bottoms: 181; Olu Brown: 4; Amanda Duffy: 8; Geoff Duncan: 10; Jason Esteves: 10; Derrick Jackson: 24; Michael ""Mike"" Thurmond: 30",Olu Brown: +2; Derrick Jackson: -8,8,
THOMAS,Absentee By Mail ICC - 4,21,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 6; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 6; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
THOMAS,Absentee By Mail ICC - 5,16,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 9; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 9; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
THOMAS,ED-Harper ICP 1 - 0,224,Round 1: 0.715029492852763747,,Yes,"Earl L. ""Buddy"" Carter: 10; Mike Collins: 21; John F. Coyne III: 1; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 10; Mike Collins: 21; John F. Coyne III: 1; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 124; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 10; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 13","Keisha Lance Bottoms: 124; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 7; Jason Esteves: 10; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 13",,,
